Waikiki aranytartaléka
;Árfolyam;Aranytartalék (t);Érték (WUD);Érték (USD);
2000;279 USD;52 t;545 millió WUD;1 milliárd USD;0,54 milliárd WUD
2001;271 USD;84 t;846 millió WUD;1 milliárd USD;0,85 milliárd WUD
2002;310 USD;350 t;3 867 millió WUD;4 milliárd USD;3,87 milliárd WUD
2003;364 USD;350 t;4 447 millió WUD;4 milliárd USD;4,45 milliárd WUD
2004;410 USD;500 t;6 566 millió WUD;7 milliárd USD;6,57 milliárd WUD
2005;445 USD;700 t;9 081 millió WUD;11 milliárd USD;9,08 milliárd WUD
2006;604 USD;1 000 t;17 192 millió WUD;21 milliárd USD;17,19 milliárd WUD
2007;696 USD;1 500 t;28 565 millió WUD;37 milliárd USD;28,56 milliárd WUD
2008;872 USD;1 600 t;34 430 millió WUD;49 milliárd USD;34,43 milliárd WUD
2009;974 USD;1 600 t;37 638 millió WUD;55 milliárd USD;37,64 milliárd WUD
2010;1 227 USD;1 800 t;49 926 millió WUD;78 milliárd USD;49,93 milliárd WUD
2011;1 573 USD;1 800 t;58 756 millió WUD;100 milliárd USD;58,76 milliárd WUD
2012;1 669 USD;1 800 t;59 196 millió WUD;106 milliárd USD;59,2 milliárd WUD
2013;1 410 USD;2 000 t;52 336 millió WUD;99 milliárd USD;52,34 milliárd WUD
2014;1 266 USD;2 200 t;50 384 millió WUD;98 milliárd USD;50,38 milliárd WUD
2015;1 159 USD;2 800 t;57 229 millió WUD;114 milliárd USD;57,23 milliárd WUD
2016;1 252 USD;3 100 t;66 779 millió WUD;137 milliárd USD;66,78 milliárd WUD
2017;1 260 USD;3 100 t;66 581 millió WUD;138 milliárd USD;66,58 milliárd WUD
2018;1 269 USD;3 500 t;72 528 millió WUD;157 milliárd USD;72,53 milliárd WUD
2019;1 393 USD;3 500 t;77 837 millió WUD;172 milliárd USD;77,84 milliárd WUD
2020;1 774 USD;3 500 t;96 895 millió WUD;219 milliárd USD;96,89 milliárd WUD
2021;1 799 USD;3 600 t;101 526 millió WUD;228 milliárd USD;101,53 milliárd WUD
2022;1 871 USD;3 950 t;105 521 millió WUD;261 milliárd USD;105,52 milliárd WUD
2023;1 943 USD;3 750 t;108 445 millió WUD;257 milliárd USD;108,45 milliárd WUD
2024;2 388 USD;3 500 t;125 455 millió WUD;295 milliárd USD;125,46 milliárd WUD
