1. táblázat
Név;Típus;Piaci kapitalizáció (2020);Teljes tulajdonhányad;Privát tulajdonhányad;Állami tulajdonhányad;Vagyon;Tulajdonos
Összesen;;23 458 milliárd USD;;;;14 479 milliárd USD;
Chease Investment Group;publikus;2 741 milliárd USD;72%;52%;20%;1 425 milliárd USD;Chease Young
Inter Medic;privát;2 215 milliárd USD;100%;100%;0%;2 215 milliárd USD;Chease Young
Apple Inc.;publikus;2 215 milliárd USD;67%;16%;51%;354 milliárd USD;Chease Raimondo
Royal Oil Group;privát;1 542 milliárd USD;100%;100%;0%;1 542 milliárd USD;Chease Young
Alphabet Inc.;publikus;1 383 milliárd USD;51%;18%;33%;249 milliárd USD;Chease Raimondo
International Credit Bank;publikus;971 milliárd USD;80%;60%;20%;583 milliárd USD;Jessica Walker
Royal Housing Fund;privát;846 milliárd USD;100%;100%;0%;846 milliárd USD;Chease Young
Waikiki Space and Aerodynamics;privát;752 milliárd USD;100%;100%;0%;752 milliárd USD;Chease Young
Bank of Waikiki;publikus;690 milliárd USD;72%;51%;21%;352 milliárd USD;Jessica Walker
State Agricultural Agglomerate;publikus;557 milliárd USD;55%;30%;25%;167 milliárd USD;Chease Raimondo
Walker Finance & Insurance Holding;privát;548 milliárd USD;100%;100%;0%;548 milliárd USD;Jessica Walker
Starlight Residents;privát;520 milliárd USD;100%;100%;0%;520 milliárd USD;Chease Young
Walmart Stores;publikus;512 milliárd USD;72%;17%;55%;87 milliárd USD;Angelina Chease
Berkshire Hathaway;publikus;492 milliárd USD;34%;8%;26%;39 milliárd USD;Angelina Chease
Waikiki Telecom;publikus;433 milliárd USD;100%;100%;0%;433 milliárd USD;Chease Raimondo
AT&T;publikus;396 milliárd USD;44%;20%;24%;79 milliárd USD;Angelina Chease
Industrial Corporate Alliance of Waikiki;privát;394 milliárd USD;100%;100%;0%;394 milliárd USD;Angelina Chease
Waikiki Media Group;privát;385 milliárd USD;100%;100%;0%;385 milliárd USD;Jennifer Chease
Waikiki State Grid;privát;346 milliárd USD;100%;100%;0%;346 milliárd USD;Chease Raimondo
Johnson & Johnson;publikus;337 milliárd USD;63%;23%;40%;78 milliárd USD;Jennifer Chease
Visa;publikus;325 milliárd USD;55%;35%;20%;114 milliárd USD;Jennifer Chease
Quantum Travel Group;privát;310 milliárd USD;100%;100%;0%;310 milliárd USD;Jennifer Chease
New Raimondo Central Bank;privát;291 milliárd USD;100%;100%;0%;291 milliárd USD;Angelina Chease
General Arms and Defense;privát;269 milliárd USD;100%;100%;0%;269 milliárd USD;Chease Young
United Health Group;publikus;245 milliárd USD;78%;31%;47%;76 milliárd USD;Chease Young
IX Energy Holdings;publikus;243 milliárd USD;76%;0%;76%;0 milliárd USD;
Intel;publikus;242 milliárd USD;78%;18%;60%;44 milliárd USD;Chease Raimondo
Waikiki State Health;privát;240 milliárd USD;100%;100%;0%;240 milliárd USD;Angelina Chease
State Farming Corporation;privát;227 milliárd USD;100%;100%;0%;227 milliárd USD;Jennifer Chease
Boeing;publikus;207 milliárd USD;65%;25%;40%;52 milliárd USD;Angelina Chease
Starlight Hotels;privát;203 milliárd USD;100%;100%;0%;203 milliárd USD;Chease Young
Young Holdings;publikus;201 milliárd USD;56%;36%;20%;72 milliárd USD;Chease Young
Coca-Cola;publikus;192 milliárd USD;48%;18%;30%;35 milliárd USD;Jennifer Chease
Royal Corporation Group;privát;187 milliárd USD;100%;100%;0%;187 milliárd USD;Jennifer Chease
Raimondo Holdings;publikus;180 milliárd USD;79%;79%;0%;142 milliárd USD;Chease Raimondo
Walt Disney;publikus;166 milliárd USD;75%;35%;40%;58 milliárd USD;Angelina Chease
NVIDIA;publikus;152 milliárd USD;58%;18%;40%;27 milliárd USD;Angelina Chease
Techno Industries;publikus;132 milliárd USD;90%;80%;10%;106 milliárd USD;Chease Young
Waikiki World Assosiation;privát;126 milliárd USD;100%;100%;0%;126 milliárd USD;Angelina Chease
Adobe;publikus;126 milliárd USD;52%;12%;40%;15 milliárd USD;Angelina Chease
Nike;publikus;124 milliárd USD;53%;23%;30%;29 milliárd USD;Selena Gomez
McDonalds;publikus;123 milliárd USD;64%;24%;40%;30 milliárd USD;Jennifer Chease
SpaceX;publikus;121 milliárd USD;65%;60%;5%;73 milliárd USD;Chease Young
General Electric;publikus;119 milliárd USD;66%;33%;33%;39 milliárd USD;Angelina Chease
Tower Apartment;privát;115 milliárd USD;100%;100%;0%;115 milliárd USD;Angelina Chease
Costco;publikus;115 milliárd USD;34%;4%;30%;5 milliárd USD;Jennifer Chease
Construction Alliance of Waikiki;privát;102 milliárd USD;100%;100%;0%;102 milliárd USD;Chease Young
International Securities;privát;100 milliárd USD;100%;100%;0%;100 milliárd USD;Jessica Walker
Chease Young;;9 889 milliárd USD;;;;8 201 milliárd USD;
Chease Raimondo;;5 356 milliárd USD;;;;1 735 milliárd USD;
Jessica Walker;;2 309 milliárd USD;;;;1 583 milliárd USD;
Angelina Chease;;3 336 milliárd USD;;;;1 563 milliárd USD;
Jennifer Chease;;2 201 milliárd USD;;;;1 369 milliárd USD;
