Monetáris éves összesítések
Év vége;Waikiki pénzkibocsátás (USD);USA pénzkibocsátás (USD);Waikiki pénzmennyiség (USD);USA pénzmennyiség (USD);Waikiki pénzkibocsátás (WUD);Waikiki pénzmennyiség (WUD);Waikiki betéti kamat;Waikiki hitel kamat
2000;440 milliárd USD;259 milliárd USD;1 393 milliárd USD;4 925 milliárd USD;482 milliárd WUD;1 482 milliárd WUD;1,44%;3,14%
2001;478 milliárd USD;508 milliárd USD;1 875 milliárd USD;5 433 milliárd USD;491 milliárd WUD;1 974 milliárd WUD;1,92%;4,47%
2002;334 milliárd USD;338 milliárd USD;2 278 milliárd USD;5 771 milliárd USD;328 milliárd WUD;2 301 milliárd WUD;1,59%;4,74%
2003;396 milliárd USD;295 milliárd USD;2 693 milliárd USD;6 066 milliárd USD;365 milliárd WUD;2 666 milliárd WUD;1,59%;4,54%
2004;348 milliárd USD;351 milliárd USD;3 265 milliárd USD;6 417 milliárd USD;302 milliárd WUD;2 968 milliárd WUD;1,06%;3,26%
2005;448 milliárd USD;263 milliárd USD;4 034 milliárd USD;6 680 milliárd USD;366 milliárd WUD;3 334 milliárd WUD;0,87%;2,77%
2006;576 milliárd USD;389 milliárd USD;4 681 milliárd USD;7 070 milliárd USD;441 milliárd WUD;3 775 milliárd WUD;0,91%;2,01%
2007;533 milliárd USD;400 milliárd USD;5 370 milliárd USD;7 469 milliárd USD;388 milliárd WUD;4 162 milliárd WUD;1,42%;3,22%
2008;483 milliárd USD;720 milliárd USD;6 424 milliárd USD;8 190 milliárd USD;330 milliárd WUD;4 492 milliárd WUD;2,08%;4,66%
2009;630 milliárd USD;303 milliárd USD;7 154 milliárd USD;8 493 milliárd USD;408 milliárd WUD;4 900 milliárd WUD;2,68%;5,54%
2010;635 milliárd USD;306 milliárd USD;8 255 milliárd USD;8 799 milliárd USD;391 milliárd WUD;5 292 milliárd WUD;2,67%;5,97%
2011;717 milliárd USD;858 milliárd USD;9 692 milliárd USD;9 658 milliárd USD;409 milliárd WUD;5 701 milliárd WUD;2,68%;5,87%
2012;933 milliárd USD;794 milliárd USD;11 101 milliárd USD;10 452 milliárd USD;501 milliárd WUD;6 202 milliárd WUD;2,52%;5,76%
2013;956 milliárd USD;569 milliárd USD;12 724 milliárd USD;11 020 milliárd USD;495 milliárd WUD;6 697 milliárd WUD;2,34%;5,72%
2014;1 017 milliárd USD;654 milliárd USD;14 068 milliárd USD;11 674 milliárd USD;517 milliárd WUD;7 214 milliárd WUD;2,45%;5,78%
2015;741 milliárd USD;666 milliárd USD;15 166 milliárd USD;12 340 milliárd USD;369 milliárd WUD;7 583 milliárd WUD;2,73%;5,87%
2016;650 milliárd USD;874 milliárd USD;16 188 milliárd USD;13 214 milliárd USD;313 milliárd WUD;7 896 milliárd WUD;2,67%;5,94%
2017;793 milliárd USD;641 milliárd USD;17 126 milliárd USD;13 855 milliárd USD;377 milliárd WUD;8 274 milliárd WUD;2,80%;5,89%
2018;502 milliárd USD;520 milliárd USD;18 368 milliárd USD;14 374 milliárd USD;230 milliárd WUD;8 504 milliárd WUD;2,89%;6,01%
2019;295 milliárd USD;951 milliárd USD;19 088 milliárd USD;15 326 milliárd USD;133 milliárd WUD;8 637 milliárd WUD;1,86%;4,98%
2020;81 milliárd USD;3 804 milliárd USD;19 601 milliárd USD;19 129 milliárd USD;36 milliárd WUD;8 673 milliárd WUD;1,04%;4,08%
2021;183 milliárd USD;2 466 milliárd USD;19 926 milliárd USD;21 595 milliárd USD;183 milliárd WUD;8 856 milliárd WUD;0,72%;3,12%
2022;21 milliárd USD;-388 milliárd USD;21 926 milliárd USD;21 207 milliárd USD;21 milliárd WUD;8 877 milliárd WUD;1,35%;4,00%
Összesen;12 191 milliárd USD;16 541 milliárd USD;21 926 milliárd USD;21 207 milliárd USD;7 877 milliárd WUD;8 877 milliárd WUD;;
