Bevételek 2017
;Waikiki;Kiadás (GDP %);USA;Anglia
Állami cégek belföldi profitja;2 492 milliárd USD;;54 milliárd USD;36 milliárd USD
Vállalati adó;2 279 milliárd USD;;441 milliárd USD;191 milliárd USD
Állami cégek külföldi profitja;1 623 milliárd USD;;;
Környezetvédelmi adó;810 milliárd USD;;;138 milliárd USD
A Nemzeti Bank bevételei;779 milliárd USD;;132 milliárd USD;31 milliárd USD
Az egészségügy bevételei;548 milliárd USD;;1 328 milliárd USD;237 milliárd USD
Nemzetközi hitelek kamatai;144 milliárd USD;;;
Jövedelemadó;;;1 861 milliárd USD;619 milliárd USD
Vámok és nemzetközi szerződések;130 milliárd USD;;59 milliárd USD;39 milliárd USD
Egyéb díjak és bevételek;95 milliárd USD;;208 milliárd USD;144 milliárd USD
Összesen;8 901 milliárd USD;;4 083 milliárd USD;1 435 milliárd USD
