1. táblázat-1
Év;WUD / USD árfolyam;WUD / EUR árfolyam;WUD / GBP árfolyam;WUD / CHF árfolyam;WUD / CAD árfolyam
2000;0,94;0,88;0,62;1,59;1,40
2001;0,95;1,03;0,66;1,60;1,47
2002;0,99;1,11;0,66;1,55;1,56
2003;1,01;1,08;0,62;1,36;1,41
2004;1,10;0,97;0,60;1,37;1,43
2005;1,21;0,97;0,67;1,51;1,46
2006;1,24;1,00;0,67;1,55;1,41
2007;1,29;1,03;0,64;1,55;1,39
2008;1,43;1,05;0,78;1,55;1,52
2009;1,46;1,00;0,94;1,58;1,67
2010;1,56;1,12;1,01;1,63;1,61
2011;1,70;1,28;1,06;1,51;1,68
2012;1,79;1,29;1,13;1,68;1,79
2013;1,90;1,48;1,22;1,76;1,96
2014;1,95;1,47;1,18;1,78;2,15
2015;2,00;1,51;1,31;1,92;2,56
2016;2,05;1,85;1,52;2,02;2,72
2017;2,07;1,87;1,61;2,04;2,69
2018;2,16;1,92;1,62;2,11;2,80
2019;2,21;1,87;1,73;2,20;2,93
2020;2,26;2,02;1,76;2,12;3,03
2021;2,25;1,97;1,64;2,06;2,82
2022;2,47;2,09;2,00;2,36;3,21
2023;2,37;2,25;1,91;2,13;3,20
