1. táblázat
Év;GDP / fő (WUD);GDP / fő (USD);Éves államháztartási többlet %;Államháztartási tartalék %;Éves GDP növekedés (WUD);Éves GDP növekedés (USD);Waikiki teljes állami tartaléka (WUD);Waikiki teljes állami tartaléka (USD);A királyi család személyes vagyona (WUD);A királyi család személyes vagyona (USD);Állami költségvetés és GDP aránya %;Állami költségvetés (USD);Állami bevételek (USD);Összes vagyon (WUD);Összes vagyon (USD);Népesség (millió);Teljes GDP (WUD);Teljes GDP (USD);Éves háztartási bevételek mediánja (WUD);Éves háztartási bevételek mediánja (USD);Ideglenes munkavállalók aránya %;Foglalkoztatottság mértéke %;Éves fizetés növekedés (WUD);Éves fizetés növekedés (USD);Költségvetési megtakarítás (WUD);Állami vagyonváltozás (WUD);WUD / USD árfolyam
1999;6 752 WUD;6 279 USD;0%;0%;0%;0%;0,00 trillió WUD;0,00 trillió USD;0,00 trillió WUD;0,00 trillió USD;38%;29 milliárd USD;29 milliárd USD;0,00 trillió WUD;0,00 trillió USD;12;81 milliárd WUD;75 milliárd USD;8 495 WUD;7 900 USD;0%;59%;0%;0%;0,00 trillió WUD;0,00 trillió WUD;0,93
2000;8 702 WUD;8 180 USD;2%;2%;29%;30%;0,03 trillió WUD;0,03 trillió USD;0,01 trillió WUD;0,01 trillió USD;31%;30 milliárd USD;32 milliárd USD;0,05 trillió WUD;0,05 trillió USD;12;104 milliárd WUD;98 milliárd USD;10 957 WUD;10 300 USD;13%;62%;29%;30%;0,00 trillió WUD;0,03 trillió WUD;0,94
2001;11 684 WUD;11 100 USD;5%;6%;34%;36%;0,15 trillió WUD;0,14 trillió USD;0,05 trillió WUD;0,05 trillió USD;26%;38 milliárd USD;45 milliárd USD;0,20 trillió WUD;0,19 trillió USD;13;152 milliárd WUD;144 milliárd USD;13 263 WUD;12 600 USD;17%;64%;21%;22%;0,01 trillió WUD;0,12 trillió WUD;0,95
2002;14 161 WUD;14 019 USD;5%;10%;21%;26%;0,29 trillió WUD;0,29 trillió USD;0,08 trillió WUD;0,08 trillió USD;29%;53 milliárd USD;62 milliárd USD;0,38 trillió WUD;0,37 trillió USD;13;184 milliárd WUD;182 milliárd USD;13 636 WUD;13 500 USD;16%;68%;3%;7%;0,01 trillió WUD;0,14 trillió WUD;0,99
2003;17 801 WUD;17 979 USD;1%;9%;26%;28%;0,33 trillió WUD;0,33 trillió USD;0,13 trillió WUD;0,13 trillió USD;31%;78 milliárd USD;81 milliárd USD;0,45 trillió WUD;0,46 trillió USD;14;249 milliárd WUD;252 milliárd USD;14 752 WUD;14 900 USD;17%;75%;8%;10%;0,00 trillió WUD;0,04 trillió WUD;1,01
2004;20 727 WUD;22 800 USD;2%;10%;16%;27%;0,41 trillió WUD;0,45 trillió USD;0,16 trillió WUD;0,18 trillió USD;30%;109 milliárd USD;117 milliárd USD;0,57 trillió WUD;0,63 trillió USD;16;332 milliárd WUD;365 milliárd USD;16 273 WUD;17 900 USD;18%;82%;10%;20%;0,01 trillió WUD;0,08 trillió WUD;1,10
2005;23 619 WUD;28 579 USD;2%;11%;14%;25%;0,51 trillió WUD;0,61 trillió USD;0,20 trillió WUD;0,24 trillió USD;20%;86 milliárd USD;94 milliárd USD;0,70 trillió WUD;0,85 trillió USD;15;354 milliárd WUD;429 milliárd USD;19 091 WUD;23 100 USD;22%;86%;17%;29%;0,01 trillió WUD;0,09 trillió WUD;1,21
2006;27 645 WUD;34 280 USD;8%;17%;17%;20%;0,95 trillió WUD;1,18 trillió USD;0,25 trillió WUD;0,31 trillió USD;18%;1 230 milliárd USD;1 773 milliárd USD;1,20 trillió WUD;1,49 trillió USD;198;5 474 milliárd WUD;6 787 milliárd USD;20 806 WUD;25 800 USD;19%;83%;9%;12%;0,44 trillió WUD;0,44 trillió WUD;1,24
2007;32 658 WUD;42 129 USD;10%;25%;18%;23%;1,60 trillió WUD;2,07 trillió USD;0,36 trillió WUD;0,47 trillió USD;19%;1 616 milliárd USD;2 454 milliárd USD;1,97 trillió WUD;2,54 trillió USD;199;6 499 milliárd WUD;8 384 milliárd USD;21 783 WUD;28 100 USD;15%;85%;5%;9%;0,65 trillió WUD;0,65 trillió WUD;1,29
2008;35 461 WUD;50 709 USD;10%;33%;9%;20%;2,31 trillió WUD;3,30 trillió USD;0,57 trillió WUD;0,81 trillió USD;21%;2 151 milliárd USD;3 166 milliárd USD;2,88 trillió WUD;4,12 trillió USD;200;7 092 milliárd WUD;10 142 milliárd USD;24 895 WUD;35 600 USD;14%;84%;14%;27%;0,71 trillió WUD;0,71 trillió WUD;1,43
2009;40 520 WUD;59 159 USD;5%;34%;14%;17%;2,72 trillió WUD;3,97 trillió USD;0,91 trillió WUD;1,33 trillió USD;18%;2 173 milliárd USD;2 765 milliárd USD;3,63 trillió WUD;5,29 trillió USD;200;8 104 milliárd WUD;11 832 milliárd USD;26 712 WUD;39 000 USD;13%;84%;7%;10%;0,41 trillió WUD;0,41 trillió WUD;1,46
2010;44 717 WUD;69 759 USD;5%;35%;10%;18%;3,16 trillió WUD;4,93 trillió USD;1,04 trillió WUD;1,62 trillió USD;18%;2 483 milliárd USD;3 184 milliárd USD;4,20 trillió WUD;6,55 trillió USD;201;8 988 milliárd WUD;14 021 milliárd USD;29 103 WUD;45 400 USD;13%;85%;9%;16%;0,45 trillió WUD;0,45 trillió WUD;1,56
2011;47 764 WUD;81 199 USD;5%;38%;7%;16%;3,64 trillió WUD;6,19 trillió USD;1,42 trillió WUD;2,42 trillió USD;16%;2 673 milliárd USD;3 498 milliárd USD;5,06 trillió WUD;8,61 trillió USD;203;9 696 milliárd WUD;16 483 milliárd USD;33 118 WUD;56 300 USD;14%;88%;14%;24%;0,48 trillió WUD;0,48 trillió WUD;1,70
2012;51 424 WUD;92 049 USD;5%;40%;8%;13%;4,16 trillió WUD;7,44 trillió USD;1,76 trillió WUD;3,15 trillió USD;17%;3 176 milliárd USD;4 115 milliárd USD;5,91 trillió WUD;10,58 trillió USD;204;10 490 milliárd WUD;18 778 milliárd USD;35 587 WUD;63 700 USD;12%;89%;7%;13%;0,52 trillió WUD;0,51 trillió WUD;1,79
2013;55 526 WUD;105 499 USD;8%;44%;8%;15%;5,04 trillió WUD;9,58 trillió USD;2,23 trillió WUD;4,23 trillió USD;18%;3 936 milliárd USD;5 674 milliárd USD;7,27 trillió WUD;13,81 trillió USD;206;11 438 milliárd WUD;21 733 milliárd USD;36 263 WUD;68 900 USD;10%;92%;2%;8%;0,92 trillió WUD;0,89 trillió WUD;1,90
2014;60 153 WUD;117 298 USD;6%;47%;8%;11%;5,77 trillió WUD;11,24 trillió USD;2,82 trillió WUD;5,50 trillió USD;15%;3 744 milliárd USD;5 194 milliárd USD;8,59 trillió WUD;16,74 trillió USD;206;12 392 milliárd WUD;24 163 milliárd USD;37 436 WUD;73 000 USD;12%;92%;3%;6%;0,74 trillió WUD;0,72 trillió WUD;1,95
2015;66 500 WUD;133 000 USD;6%;48%;11%;13%;6,56 trillió WUD;13,13 trillió USD;3,33 trillió WUD;6,66 trillió USD;17%;4 561 milliárd USD;6 213 milliárd USD;9,90 trillió WUD;19,79 trillió USD;207;13 766 milliárd WUD;27 531 milliárd USD;39 050 WUD;78 100 USD;11%;93%;4%;7%;0,83 trillió WUD;0,80 trillió WUD;2,00
2016;70 585 WUD;144 699 USD;5%;50%;6%;9%;7,27 trillió WUD;14,90 trillió USD;3,58 trillió WUD;7,33 trillió USD;18%;5 270 milliárd USD;6 775 milliárd USD;10,85 trillió WUD;22,23 trillió USD;208;14 682 milliárd WUD;30 097 milliárd USD;40 390 WUD;82 800 USD;11%;94%;3%;6%;0,73 trillió WUD;0,71 trillió WUD;2,05
2017;76 608 WUD;158 579 USD;5%;50%;9%;10%;8,04 trillió WUD;16,63 trillió USD;3,77 trillió WUD;7,80 trillió USD;20%;6 597 milliárd USD;8 254 milliárd USD;11,81 trillió WUD;24,44 trillió USD;209;16 011 milliárd WUD;33 143 milliárd USD;41 947 WUD;86 830 USD;8%;94%;4%;5%;0,80 trillió WUD;0,77 trillió WUD;2,07
2018;78 648 WUD;169 880 USD;5%;53%;3%;7%;8,82 trillió WUD;19,06 trillió USD;4,05 trillió WUD;8,74 trillió USD;23%;8 302 milliárd USD;10 086 milliárd USD;12,87 trillió WUD;27,80 trillió USD;210;16 516 milliárd WUD;35 675 milliárd USD;42 843 WUD;92 540 USD;9%;94%;2%;7%;0,83 trillió WUD;0,79 trillió WUD;2,16
2019;80 235 WUD;177 319 USD;4%;56%;2%;4%;9,46 trillió WUD;20,91 trillió USD;4,18 trillió WUD;9,24 trillió USD;22%;8 261 milliárd USD;9 764 milliárd USD;13,65 trillió WUD;30,16 trillió USD;212;17 010 milliárd WUD;37 592 milliárd USD;43 299 WUD;95 690 USD;8%;95%;1%;3%;0,68 trillió WUD;0,64 trillió WUD;2,21
2020;73 428 WUD;165 947 USD;0%;61%;-8%;-6%;9,46 trillió WUD;21,39 trillió USD;4,39 trillió WUD;9,92 trillió USD;32%;11 258 milliárd USD;11 258 milliárd USD;13,85 trillió WUD;31,31 trillió USD;212;15 567 milliárd WUD;35 181 milliárd USD;38 179 WUD;86 285 USD;5%;92%;-12%;-10%;0,00 trillió WUD;0,00 trillió WUD;2,26
