Kiadások
;2015;2016;2017;2018;Kiadás (GDP %);2019;2020;2021
Tudományos kutatások;1252 milliárd USD;1244 milliárd USD;1789 milliárd USD;1873 milliárd USD;;2011 milliárd USD;1745 milliárd USD;1644 milliárd USD
Egészségügy;976 milliárd USD;1280 milliárd USD;1339 milliárd USD;2811 milliárd USD;;2762 milliárd USD;4763 milliárd USD;3807 milliárd USD
Infrastruktúra;607 milliárd USD;600 milliárd USD;987 milliárd USD;617 milliárd USD;;819 milliárd USD;779 milliárd USD;1449 milliárd USD
Oktatás;654 milliárd USD;711 milliárd USD;817 milliárd USD;868 milliárd USD;;813 milliárd USD;960 milliárd USD;1022 milliárd USD
Katonaság;324 milliárd USD;500 milliárd USD;525 milliárd USD;600 milliárd USD;;663 milliárd USD;561 milliárd USD;581 milliárd USD
Nyugdíjak és sociális kiadások;345 milliárd USD;382 milliárd USD;380 milliárd USD;376 milliárd USD;;372 milliárd USD;966 milliárd USD;498 milliárd USD
Államigazgatás;228 milliárd USD;246 milliárd USD;283 milliárd USD;355 milliárd USD;;363 milliárd USD;487 milliárd USD;448 milliárd USD
Közbiztonság;138 milliárd USD;215 milliárd USD;254 milliárd USD;305 milliárd USD;;268 milliárd USD;396 milliárd USD;308 milliárd USD
Kultúra és sport;106 milliárd USD;169 milliárd USD;203 milliárd USD;184 milliárd USD;;165 milliárd USD;128 milliárd USD;130 milliárd USD
Egyéb kiadások;173 milliárd USD;199 milliárd USD;172 milliárd USD;254 milliárd USD;;205 milliárd USD;639 milliárd USD;619 milliárd USD
- Ebből kamatfizetés;0 milliárd USD;0 milliárd USD;0 milliárd USD;0 milliárd USD;;0 milliárd USD;31 milliárd USD;53 milliárd USD
