Külkereskedelem 2020
;Export;Kiadás (GDP %);Import
Üzemanyagok és energiahordozók;402 milliárd USD;;81 milliárd USD
Élelmiszer;35 milliárd USD;;31 milliárd USD
Háztartási és ipari gépek;192 milliárd USD;;310 milliárd USD
Gyógyszerek;220 milliárd USD;;48 milliárd USD
Elektronikai eszközök;550 milliárd USD;;157 milliárd USD
Egészségügyi felszerelések;74 milliárd USD;;73 milliárd USD
Repülők és űrhajók;219 milliárd USD;;25 milliárd USD
Nyersanyagok és ásványok;24 milliárd USD;;119 milliárd USD
Bútorok és lakberendezés;67 milliárd USD;;54 milliárd USD
Járművek;158 milliárd USD;;240 milliárd USD
Összesen;1941 milliárd USD;;1138 milliárd USD
