Legnagyobb beruházások
Waikiki Space Station 200 milliárd USD;200 milliárd USD
Intercontinental Missile Defense System 132 milliárd USD;132 milliárd USD
Interprovince Tunnel System 85 milliárd USD;85 milliárd USD
Artificial Islands and Dam Project 76 milliárd USD;76 milliárd USD
New Raimondo Underground Network 72 milliárd USD;72 milliárd USD
Mega Pyramid City 65 milliárd USD;65 milliárd USD
Brazilian Hydrogen Power Plant 48 milliárd USD;48 milliárd USD
Very Large Hadron Collider 42 milliárd USD;42 milliárd USD
New Raimondo Central Airport 32 milliárd USD;32 milliárd USD
Brazilian Railway Project 24 milliárd USD;24 milliárd USD
