Vagyonmegoszlás 2020
;Átlag vagyon;Összes vagyon;Százalék
Alsó 20%;31 470 USD;1 302 858 millió USD;1,5%
20%-30%;82 241 USD;1 702 389 millió USD;2,0%
30%-40%;145 946 USD;3 021 082 millió USD;3,5%
40%-50%;196 000 USD;4 057 200 millió USD;4,7%
50%-60%;281 466 USD;5 826 346 millió USD;6,7%
60%-70%;395 733 USD;8 191 673 millió USD;9,4%
70%-80%;528 800 USD;10 946 160 millió USD;12,6%
80%-90%;714 666 USD;14 793 586 millió USD;17,0%
90%-95%;944 533 USD;9 775 917 millió USD;11,3%
Feslő 5%;2 634 666 USD;27 268 793 millió USD;31,4%
Összesen;;86 886 004 millió USD;100,0%
