1. táblázat
Év;Waikiki fogyasztói árindex;USA fogyasztói árindex;Waikiki reál árak;WUD / USD árfolyam;Waikiki infláció;USA infláció;Árfolyamváltozás;Cél minimum;Cél maximum;USD / WUD árfolyam;Reál árfolyam
2000;50,0%;100,0%;47,0%;0,94;0,0%;0,0%;0,0%;-2,0%;2,0%;1,06;2,13
2001;50,5%;102,8%;48,0%;0,95;1,0%;2,8%;1,1%;-2,0%;2,0%;1,05;2,14
2002;50,7%;104,5%;50,2%;0,99;0,4%;1,7%;4,2%;-2,0%;2,0%;1,01;2,08
2003;51,0%;106,9%;51,5%;1,01;0,6%;2,3%;2,0%;-2,0%;2,0%;0,99;2,08
2004;50,2%;109,7%;55,2%;1,10;-1,6%;2,6%;8,9%;-2,0%;2,0%;0,91;1,99
2005;49,8%;113,4%;60,3%;1,21;-0,8%;3,4%;10,0%;-2,0%;2,0%;0,83;1,88
2006;50,0%;117,1%;62,0%;1,24;0,4%;3,3%;2,5%;-2,0%;2,0%;0,81;1,89
2007;50,1%;120,4%;64,6%;1,29;0,2%;2,8%;4,0%;-2,0%;2,0%;0,78;1,86
2008;49,8%;125,0%;71,2%;1,43;-0,6%;3,8%;10,9%;-2,0%;2,0%;0,70;1,76
2009;50,7%;124,6%;74,0%;1,46;1,8%;-0,3%;2,1%;-2,0%;2,0%;0,68;1,68
2010;50,8%;126,6%;79,2%;1,56;0,2%;1,6%;6,8%;-1,5%;1,5%;0,64;1,60
2011;50,1%;130,6%;85,2%;1,70;-1,4%;3,2%;9,0%;-1,0%;1,0%;0,59;1,53
2012;50,2%;133,3%;89,9%;1,79;0,2%;2,1%;5,3%;-1,0%;1,0%;0,56;1,48
2013;50,3%;135,3%;95,6%;1,90;0,2%;1,5%;6,1%;-1,0%;1,0%;0,53;1,42
2014;50,2%;137,5%;97,9%;1,95;-0,2%;1,6%;2,6%;-1,0%;1,0%;0,51;1,40
2015;50,4%;137,6%;100,8%;2,00;0,4%;0,1%;2,6%;-1,0%;1,0%;0,50;1,37
2016;50,5%;139,4%;103,5%;2,05;0,2%;1,3%;2,5%;-1,0%;1,0%;0,49;1,35
2017;50,4%;142,4%;104,3%;2,07;-0,2%;2,2%;1,0%;-1,0%;1,0%;0,48;1,36
2018;50,5%;145,8%;109,1%;2,16;0,2%;2,4%;4,3%;-1,0%;1,0%;0,46;1,34
2019;50,7%;148,5%;112,0%;2,21;0,4%;1,9%;2,3%;-1,0%;1,0%;0,45;1,33
2020;51,0%;150,3%;115,3%;2,26;0,6%;1,2%;2,3%;-1,0%;1,0%;0,44;1,30
2021;51,3%;157,4%;115,4%;2,25;0,6%;4,7%;-0,4%;-1,0%;1,0%;0,44;1,36
2022;51,9%;169,9%;128,2%;2,47;1,2%;7,9%;9,8%;-1,0%;1,0%;0,40;1,33
2023;52,1%;177,0%;123,5%;2,37;0,4%;7,2%;-4,0%;-1,0%;1,0%;0,42;1,48
2024;52,5%;182,2%;123,4%;2,35;0,8%;0,0%;-0,8%;-1,0%;1,0%;0,43;1,48
