Bevételek
;2015;2016;2017;2018;Kiadás (GDP %);2019;2020;2021
Állami cégek belföldi profitja;1 137 825 millió USD;1 370 664 millió USD;2 592 182 millió USD;3 891 195 millió USD;;3 642 422 millió USD;2 530 722 millió USD;2 501 893 millió USD
Vállalati adó;1 635 068 millió USD;1 770 604 millió USD;2 066 016 millió USD;2 144 476 millió USD;;2 199 609 millió USD;1 876 039 millió USD;1 840 360 millió USD
Állami cégek külföldi profitja;1 105 030 millió USD;1 180 071 millió USD;1 421 938 millió USD;2 159 399 millió USD;;2 324 874 millió USD;2 676 130 millió USD;2 570 030 millió USD
Környezetvédelmi adó;397 540 millió USD;492 370 millió USD;510 426 millió USD;554 171 millió USD;;618 898 millió USD;789 016 millió USD;896 011 millió USD
A Nemzeti Bank bevételei;741 475 millió USD;649 524 millió USD;792 870 millió USD;501 752 millió USD;;294 895 millió USD;81 342 millió USD;183 000 millió USD
Az egészségügy bevételei;1 100 937 millió USD;1 204 920 millió USD;548 143 millió USD;399 340 millió USD;;386 012 millió USD;278 260 millió USD;241 320 millió USD
Nemzetközi hitelek kamatai;112 980 millió USD;156 713 millió USD;144 403 millió USD;186 172 millió USD;;173 100 millió USD;209 153 millió USD;173 640 millió USD
Vámok és nemzetközi szerződések;120 734 millió USD;127 036 millió USD;129 668 millió USD;159 823 millió USD;;160 380 millió USD;123 780 millió USD;103 900 millió USD
Egyéb díjak és bevételek;106 870 millió USD;108 064 millió USD;95 354 millió USD;117 673 millió USD;;137 810 millió USD;2 830 358 millió USD;1 986 780 millió USD
- Ebből értékpapír kibocsátás;0 millió USD;0 millió USD;0 millió USD;0 millió USD;;0 millió USD;2 600 000 millió USD;1 800 000 millió USD
Összesen;6 458 459 millió USD;7 059 966 millió USD;8 301 000 millió USD;10 114 000 millió USD;;9 938 000 millió USD;11 394 800 millió USD;10 496 934 millió USD
Bevétel a GDP százalékában;23%;23%;25%;28%;;26%;32%;28%
Waikiki dollárban;3 229 229 millió WUD;3 443 886 millió WUD;4 010 145 millió WUD;4 682 407 millió WUD;;4 496 833 millió WUD;5 041 947 millió WUD;4 665 304 millió WUD
Kellene;23%;23%;25%;28%;;26%;32%;28%
Adó a GDP százalékában;7,4%;7,5%;7,8%;7,6%;;7,5%;7,6%;7,4%
