Kiadások
;2015;2016;2017;2018;Kiadás (GDP %);2019;2020;2021
Tudományos kutatások;1 251 650 millió USD;1 244 000 millió USD;1 788 566 millió USD;1 872 662 millió USD;;2 010 870 millió USD;1 744 578 millió USD;1 643 600 millió USD
Egészségügy;975 607 millió USD;1 280 203 millió USD;1 339 372 millió USD;2 811 306 millió USD;;2 762 130 millió USD;4 763 340 millió USD;3 806 890 millió USD
Infrastruktúra;607 006 millió USD;600 398 millió USD;986 950 millió USD;616 881 millió USD;;819 150 millió USD;779 025 millió USD;1 448 913 millió USD
Oktatás;654 028 millió USD;710 540 millió USD;817 406 millió USD;867 678 millió USD;;812 850 millió USD;960 350 millió USD;1 022 493 millió USD
Katonaság;324 015 millió USD;499 600 millió USD;524 580 millió USD;600 083 millió USD;;662 747 millió USD;561 260 millió USD;581 023 millió USD
Nyugdíjak és sociális kiadások;344 680 millió USD;381 598 millió USD;379 510 millió USD;375 598 millió USD;;372 153 millió USD;966 434 millió USD;497 587 millió USD
Államigazgatás;228 320 millió USD;245 680 millió USD;282 948 millió USD;354 742 millió USD;;363 300 millió USD;486 781 millió USD;448 098 millió USD
Közbiztonság;137 960 millió USD;214 609 millió USD;253 755 millió USD;304 538 millió USD;;267 500 millió USD;396 446 millió USD;308 450 millió USD
Kultúra és sport;105 800 millió USD;169 210 millió USD;203 229 millió USD;184 009 millió USD;;164 500 millió USD;127 826 millió USD;130 360 millió USD
Egyéb kiadások;173 045 millió USD;198 601 millió USD;171 667 millió USD;253 503 millió USD;;204 800 millió USD;638 960 millió USD;618 586 millió USD
- Ebből kamatfizetés;0 millió USD;0 millió USD;0 millió USD;0 millió USD;;0 millió USD;31 200 millió USD;52 800 millió USD
Összesen;4 802 111 millió USD;5 544 439 millió USD;6 747 982 millió USD;8 241 000 millió USD;;8 440 000 millió USD;11 425 000 millió USD;10 506 000 millió USD
Kiadás a GDP százalékában;17%;18%;20%;23%;;22%;32%;28%
Waikiki dollárban;2 401 056 millió WUD;2 704 604 millió WUD;3 259 895 millió WUD;3 815 278 millió WUD;;3 819 005 millió WUD;5 055 310 millió WUD;4 669 333 millió WUD
Kellene;17%;18%;20%;23%;;22%;32%;28%
