Állami befektetések
;2015;2016;2017;2018;2019;2020;2021
Állami befektetések profitja;2 242 855 millió USD;2 550 735 millió USD;4 014 120 millió USD;6 050 594 millió USD;5 967 296 millió USD;4 855 596 millió USD;5 178 023 millió USD
- Ebből belföldi profit;1 137 825 millió USD;1 370 664 millió USD;2 592 182 millió USD;3 891 195 millió USD;3 642 422 millió USD;2 530 722 millió USD;2 501 893 millió USD
- Ebből külföldi profit;1 105 030 millió USD;1 180 071 millió USD;1 421 938 millió USD;2 159 399 millió USD;2 324 874 millió USD;2 324 874 millió USD;2 676 130 millió USD
Államháztartási tartalék;13 126 892 millió USD;14 902 057 millió USD;16 633 228 millió USD;19 055 209 millió USD;20 914 857 millió USD;21 388 043 millió USD;21 293 406 millió USD
- Ebből részvény;6 892 173 millió USD;7 800 254 millió USD;8 878 012 millió USD;11 616 000 millió USD;14 246 300 millió USD;14 620 301 millió USD;13 468 701 millió USD
- Ebből kötvény;4 603 988 millió USD;5 103 700 millió USD;5 709 704 millió USD;5 143 000 millió USD;4 532 604 millió USD;4 842 040 millió USD;6 039 752 millió USD
- Ebből állampapír;553 078 millió USD;675 197 millió USD;875 640 millió USD;1 098 000 millió USD;972 354 millió USD;894 026 millió USD;1 022 470 millió USD
- Ebből hitel;857 080 millió USD;891 124 millió USD;886 003 millió USD;892 000 millió USD;803 706 millió USD;650 978 millió USD;403 870 millió USD
- Ebből deviza;106 116 millió USD;294 885 millió USD;146 047 millió USD;149 548 millió USD;187 872 millió USD;161 716 millió USD;130 179 millió USD
- Ebből aranytartalék;114 457 millió USD;136 897 millió USD;137 823 millió USD;156 661 millió USD;172 020 millió USD;218 983 millió USD;228 434 millió USD
Waikiki Nemzeti Vagyonalap hozam;17,09%;17,12%;24,13%;31,75%;28,53%;22,70%;24,32%
S&P 500 részvényindex hozam;1,38%;11,96%;21,83%;-4,38%;31,49%;18,40%;28,71%
