1. táblázat
Dátum;Waikiki pénzkibocsátás (WUD);Waikiki pénzkibocsátás (USD);Waikiki pénzmennyiség (WUD);Waikiki pénzmennyiség (USD);USA pénzmennyiség (USD);USA pénzkibocsátás (USD);WNB betét alapkamat;FED betét alapkamat;Waikiki 5 éves hitel alapkamat;USA 5 éves hitel alapkamat;Waikiki hitel - betét;USA hitel - betét
2000;0 milliárd WUD;0 milliárd USD;1 000 milliárd WUD;940 milliárd USD;4 666 milliárd USD;0 milliárd USD;1,44%;5,49%;3,14%;8,05%;1,70%;2,56%
2000. február;70 milliárd WUD;63 milliárd USD;1 070 milliárd WUD;959 milliárd USD;4 679 milliárd USD;13 milliárd USD;1,50%;5,73%;3,25%;8,23%;1,75%;2,51%
2000. március;68 milliárd WUD;61 milliárd USD;1 138 milliárd WUD;1 025 milliárd USD;4 710 milliárd USD;31 milliárd USD;1,55%;5,85%;3,30%;8,25%;1,75%;2,40%
2000. április;65 milliárd WUD;56 milliárd USD;1 203 milliárd WUD;1 028 milliárd USD;4 766 milliárd USD;56 milliárd USD;1,58%;6,00%;3,33%;8,27%;1,75%;2,28%
2000. május;71 milliárd WUD;66 milliárd USD;1 274 milliárd WUD;1 196 milliárd USD;4 754 milliárd USD;-12 milliárd USD;1,63%;6,25%;3,48%;8,65%;1,85%;2,41%
2000. június;59 milliárd WUD;56 milliárd USD;1 333 milliárd WUD;1 258 milliárd USD;4 772 milliárd USD;18 milliárd USD;1,75%;6,53%;3,65%;8,60%;1,90%;2,07%
2000. július;23 milliárd WUD;20 milliárd USD;1 355 milliárd WUD;1 204 milliárd USD;4 789 milliárd USD;18 milliárd USD;1,78%;6,52%;3,68%;8,54%;1,90%;2,02%
2000. augusztus;22 milliárd WUD;22 milliárd USD;1 378 milliárd WUD;1 327 milliárd USD;4 818 milliárd USD;28 milliárd USD;1,87%;6,52%;3,82%;8,49%;1,95%;1,97%
2000. szeptember;62 milliárd WUD;57 milliárd USD;1 440 milliárd WUD;1 321 milliárd USD;4 853 milliárd USD;36 milliárd USD;1,86%;6,48%;3,91%;8,38%;2,05%;1,89%
2000. október;11 milliárd WUD;10 milliárd USD;1 451 milliárd WUD;1 338 milliárd USD;4 869 milliárd USD;16 milliárd USD;2,03%;6,54%;4,03%;8,39%;2,00%;1,84%
2000. november;10 milliárd WUD;9 milliárd USD;1 461 milliárd WUD;1 369 milliárd USD;4 880 milliárd USD;11 milliárd USD;1,95%;6,51%;4,10%;8,39%;2,15%;1,88%
2000. december;21 milliárd WUD;20 milliárd USD;1 482 milliárd WUD;1 381 milliárd USD;4 925 milliárd USD;45 milliárd USD;1,99%;6,44%;4,34%;8,19%;2,35%;1,76%
