1. táblázat-1
Dátum;USA ingatlanárak;Waikiki ingatlanárak;USA tőzsde érték;Waikiki tőzsde érték;Tőzsdei kereskedelem USA;Tőzsdei kereskedelem
2000;165 300 USD;60 948 USD;15,10 trillió USD;1,36 trillió USD;30,18 trillió USD;1,77 trillió USD
2001;169 800 USD;76 671 USD;13,85 trillió USD;3,66 trillió USD;20,24 trillió USD;1,72 trillió USD
2002;188 700 USD;92 618 USD;11,10 trillió USD;4,55 trillió USD;17,20 trillió USD;4,43 trillió USD
2003;186 000 USD;135 466 USD;14,17 trillió USD;6,95 trillió USD;15,79 trillió USD;5,81 trillió USD
2004;212 700 USD;165 386 USD;16,24 trillió USD;9,55 trillió USD;18,42 trillió USD;8,27 trillió USD
2005;232 500 USD;200 610 USD;16,91 trillió USD;9,99 trillió USD;26,16 trillió USD;11,47 trillió USD
2006;247 700 USD;210 443 USD;19,29 trillió USD;11,68 trillió USD;30,32 trillió USD;14,67 trillió USD
2007;257 400 USD;230 610 USD;19,67 trillió USD;10,92 trillió USD;43,14 trillió USD;11,98 trillió USD
2008;233 900 USD;181 247 USD;11,46 trillió USD;8,05 trillió USD;47,43 trillió USD;16,09 trillió USD
2009;208 400 USD;233 377 USD;15,08 trillió USD;7,75 trillió USD;34,15 trillió USD;20,62 trillió USD
2010;222 900 USD;304 796 USD;17,28 trillió USD;9,91 trillió USD;35,73 trillió USD;23,28 trillió USD
2011;226 900 USD;329 372 USD;15,64 trillió USD;10,48 trillió USD;40,75 trillió USD;25,63 trillió USD
2012;238 400 USD;357 516 USD;18,67 trillió USD;11,36 trillió USD;32,11 trillió USD;27,58 trillió USD
2013;258 400 USD;399 538 USD;24,04 trillió USD;13,13 trillió USD;32,61 trillió USD;29,82 trillió USD
2014;275 200 USD;426 459 USD;26,33 trillió USD;16,95 trillió USD;38,86 trillió USD;32,11 trillió USD
2015;289 200 USD;457 205 USD;25,07 trillió USD;21,46 trillió USD;41,06 trillió USD;31,87 trillió USD
2016;299 800 USD;482 884 USD;27,36 trillió USD;28,06 trillió USD;42,68 trillió USD;34,29 trillió USD
2017;313 100 USD;505 845 USD;31,77 trillió USD;33,90 trillió USD;40,00 trillió USD;36,98 trillió USD
2018;331 800 USD;527 175 USD;30,44 trillió USD;39,98 trillió USD;41,13 trillió USD;38,27 trillió USD
2019;313 000 USD;535 480 USD;33,90 trillió USD;42,88 trillió USD;36,34 trillió USD;40,49 trillió USD
2020;329 000 USD;548 850 USD;40,73 trillió USD;44,50 trillió USD;41,09 trillió USD;41,85 trillió USD
2021;369 800 USD;521 680 USD;52,26 trillió USD;46,38 trillió USD;45,87 trillió USD;48,16 trillió USD
2022;433 100 USD;541 607 USD;40,51 trillió USD;48,56 trillió USD;44,32 trillió USD;51,20 trillió USD
2023;429 000 USD;534 970 USD;50,78 trillió USD;52,08 trillió USD;;53,51 trillió USD
