Kiadások 2017
;Waikiki;Kiadás (GDP %);USA;Anglia
Tudományos kutatások;1 889 milliárd USD;;124 milliárd USD;37 milliárd USD
Egészségügy;1 539 milliárd USD;;1 260 milliárd USD;291 milliárd USD
Infrastruktúra;987 milliárd USD;;172 milliárd USD;99 milliárd USD
Oktatás;817 milliárd USD;;145 milliárd USD;255 milliárd USD
Katonaság;591 milliárd USD;;753 milliárd USD;98 milliárd USD
Nyugdíjak és sociális kiadások;380 milliárd USD;;1 536 milliárd USD;534 milliárd USD
Államigazgatás;283 milliárd USD;;106 milliárd USD;38 milliárd USD
Közbiztonság;254 milliárd USD;;98 milliárd USD;74 milliárd USD
Kultúra és sport;203 milliárd USD;;55 milliárd USD;44 milliárd USD
Egyéb kiadások;172 milliárd USD;;586 milliárd USD;55 milliárd USD
Összesen;7 114 milliárd USD;;4 835 milliárd USD;1 525 milliárd USD
