Waikiki és az Egyesült Államok államháztartási egyenlegének alakulása (milliárd USD)
;Waikiki;Egyesült Államok
2000;33;-5699
2001;144;-5813
2002;290;-6192
2003;332;-6728
2004;453;-7345
2005;613;-7929
2006;1176;-8495
2007;2066;-8989
2008;3305;-9914
2009;3966;-11723
2010;4935;-13390
2011;6190;-14657
2012;7438;-15990
2013;9583;-16851
2014;11243;-17800
2015;13127;-18344
2016;14902;-19549
2017;16633;-20107
2018;19055;-21444
2019;20915;-22493
2020;21388;-26099
2021;21293;-28677
2022;24148;-30830
2023;23547;-32740
2024;24527;-35275
