1. táblázat-1-1
Év;USD / EUR árfolyam;USD / GBP árfolyam;USD / CHF árfolyam;USD / CAD árfolyam
2000;0,94;0,66;1,69;1,49
2001;1,09;0,69;1,69;1,55
2002;1,12;0,67;1,56;1,57
2003;1,06;0,61;1,34;1,40
2004;0,88;0,55;1,24;1,30
2005;0,80;0,55;1,24;1,21
2006;0,80;0,54;1,25;1,13
2007;0,80;0,50;1,20;1,07
2008;0,73;0,54;1,08;1,07
2009;0,68;0,64;1,09;1,14
2010;0,72;0,65;1,04;1,03
2011;0,75;0,62;0,89;0,99
2012;0,72;0,63;0,94;1,00
2013;0,78;0,64;0,93;1,03
2014;0,75;0,61;0,92;1,10
2015;0,75;0,65;0,96;1,28
2016;0,90;0,74;0,99;1,33
2017;0,90;0,78;0,98;1,30
2018;0,89;0,75;0,98;1,30
2019;0,85;0,78;0,99;1,33
2020;0,89;0,78;0,94;1,34
2021;0,88;0,73;0,91;1,25
2022;0,85;0,81;0,95;1,30
2023;0,95;0,81;0,90;1,35
