1. táblázat
Dátum;USD / EUR;WUD / EUR;WUD / USD;USD / WUD;EUR / WUD;EUR / HUF;WUD / HUF
2000;0,99;0,93;0,94;1,06;1,08;255;237
2000. február;1,02;0,91;0,90;1,12;1,10;256;233
2000. március;1,04;0,93;0,90;1,11;1,07;258;241
2000. április;1,06;0,90;0,85;1,17;1,11;258;233
2000. május;1,10;1,04;0,94;1,06;0,96;259;269
2000. június;1,05;0,99;0,94;1,06;1,01;260;258
2000. július;1,07;0,95;0,89;1,13;1,06;260;246
2000. augusztus;1,11;1,06;0,96;1,04;0,94;261;278
2000. szeptember;1,15;1,06;0,92;1,09;0,95;264;279
2000. október;1,17;1,08;0,92;1,08;0,92;263;285
2000. november;1,17;1,10;0,94;1,07;0,91;264;289
2000. december;1,11;1,04;0,93;1,07;0,96;264;274
2001;1,07;1,01;0,95;1,06;0,99;265;267
2001. február;1,09;1,05;0,97;1,03;0,95;266;281
2001. március;1,10;1,07;0,98;1,03;0,93;266;286
2001. április;1,12;1,12;1,00;1,00;0,89;267;299
2001. május;1,14;1,05;0,92;1,09;0,96;253;265
2001. június;1,17;1,11;0,95;1,05;0,90;244;272
2001. július;1,16;1,13;0,97;1,03;0,88;247;279
2001. augusztus;1,11;1,05;0,95;1,05;0,95;253;267
2001. szeptember;1,10;1,11;1,01;0,99;0,90;256;285
2001. október;1,10;1,09;0,99;1,01;0,91;255;279
2001. november;1,13;1,07;0,95;1,05;0,93;251;270
2001. december;1,12;1,17;1,04;0,96;0,86;244;285
2002;1,13;1,13;0,99;1,01;0,89;243;274
2002. február;1,15;1,21;1,05;0,95;0,83;245;295
2002. március;1,14;1,13;0,99;1,01;0,88;243;276
2002. április;1,13;1,08;0,96;1,04;0,92;242;262
2002. május;1,09;1,13;1,03;0,97;0,89;242;273
2002. június;1,05;1,10;1,05;0,95;0,91;244;268
2002. július;1,01;0,98;0,97;1,03;1,02;245;240
2002. augusztus;1,02;1,07;1,05;0,95;0,93;245;263
2002. szeptember;1,02;1,00;0,98;1,02;1,00;243;244
2002. október;1,02;1,07;1,05;0,95;0,93;241;258
2002. november;1,00;1,06;1,07;0,94;0,94;237;252
2002. december;0,98;1,01;1,03;0,97;0,99;235;238
2003;0,94;0,95;1,01;0,99;1,06;244;231
2003. február;0,93;1,01;1,09;0,92;0,99;243;246
2003. március;0,93;0,98;1,06;0,95;1,02;247;242
2003. április;0,92;1,00;1,08;0,92;1,00;245;244
2003. május;0,87;0,96;1,11;0,90;1,04;249;239
