GDP / fő (USD)
;Waikiki;;USA;;Luxemburg;;Norvégia;;Svájc;
;GDP / fő;Medián jövedelem;GDP / fő;Medián jövedelem;GDP / fő;Medián jövedelem;GDP / fő;Medián jövedelem;GDP / fő;Medián jövedelem
1999;6 279 USD;7 900 USD;34 478 USD;40 700 USD;50 872 USD;;36 393 USD;;41 696 USD;
2000;8 180 USD;10 300 USD;36 298 USD;41 990 USD;48 660 USD;;38 178 USD;;38 865 USD;
2001;11 100 USD;12 600 USD;37 100 USD;42 230 USD;48 440 USD;;38 602 USD;;39 639 USD;
2002;14 019 USD;13 500 USD;37 954 USD;42 410 USD;53 006 USD;;43 171 USD;;42 459 USD;
2003;17 979 USD;14 900 USD;39 419 USD;43 320 USD;65 689 USD;;50 250 USD;;49 336 USD;
2004;22 800 USD;17 900 USD;41 658 USD;44 330 USD;76 545 USD;;57 769 USD;;54 659 USD;
2005;28 579 USD;23 100 USD;44 051 USD;46 330 USD;80 988 USD;;67 047 USD;;56 243 USD;
2006;34 280 USD;25 800 USD;46 233 USD;48 200 USD;90 789 USD;;74 434 USD;;59 011 USD;
2007;42 129 USD;28 100 USD;47 975 USD;50 230 USD;107 475 USD;;85 502 USD;;64 989 USD;
2008;50 709 USD;35 600 USD;48 499 USD;50 300 USD;120 422 USD;;97 504 USD;;74 175 USD;
2009;59 159 USD;39 000 USD;47 123 USD;49 780 USD;109 420 USD;;80 348 USD;;71 568 USD;
2010;69 759 USD;45 400 USD;48 569 USD;49 280 USD;110 886 USD;;88 163 USD;63 576 USD;76 531 USD;
2011;81 199 USD;56 300 USD;49 951 USD;50 050 USD;119 025 USD;;101 222 USD;63 528 USD;90 477 USD;
2012;92 049 USD;63 700 USD;51 644 USD;51 020 USD;112 585 USD;;102 176 USD;66 170 USD;85 836 USD;
2013;105 499 USD;68 900 USD;53 234 USD;53 590 USD;120 000 USD;;103 554 USD;67 976 USD;87 304 USD;
2014;117 298 USD;73 000 USD;55 093 USD;53 660 USD;123 679 USD;;97 667 USD;70 902 USD;88 725 USD;
2015;133 000 USD;78 100 USD;56 796 USD;56 520 USD;105 462 USD;;74 810 USD;82 375 USD;83 806 USD;54 055 USD
2016;144 699 USD;82 800 USD;57 930 USD;59 040 USD;106 899 USD;;70 867 USD;82 165 USD;82 153 USD;52 581 USD
2017;158 579 USD;86 830 USD;60 000 USD;61 140 USD;110 193 USD;;76 132 USD;80 546 USD;82 254 USD;49 926 USD
2018;169 880 USD;92 540 USD;62 824 USD;63 180 USD;116 787 USD;;82 793 USD;76 937 USD;85 217 USD;48 527 USD
2019;177 319 USD;95 690 USD;65 170 USD;68 700 USD;112 726 USD;;76 431 USD;76 962 USD;84 122 USD;48 524 USD
2020;165 947 USD;86 285 USD;64 350 USD;68 010 USD;116 905 USD;;68 340 USD;76 257 USD;85 898 USD;48 287 USD
2021;174 321 USD;90 799 USD;71 218 USD;70 780 USD;133 712 USD;;93 073 USD;76 852 USD;93 446 USD;48 041 USD
2022;193 203 USD;99 177 USD;77 775 USD;74 580 USD;125 006 USD;45 310 USD;108 798 USD;;93 260 USD;
2023;188 261 USD;100 317 USD;82 220 USD;80 610 USD;128 259 USD;42 482 USD;87 962 USD;;99 995 USD;
2024;196 366 USD;102 999 USD;85 782 USD;;;;;;;
2025;196 415 USD;103 755 USD;;;;;;;;
2026;200 138 USD;105 736 USD;;;;;;;;
2027;206 708 USD;107 143 USD;;;;;;;;
2028;211 038 USD;109 451 USD;;;;;;;;
2029;218 713 USD;111 312 USD;;;;;;;;
2030;222 678 USD;115 561 USD;;;;;;;;
2031;229 856 USD;117 483 USD;;;;;;;;
2032;235 691 USD;120 734 USD;;;;;;;;
2033;240 132 USD;126 658 USD;;;;;;;;
2034;248 818 USD;126 353 USD;;;;;;;;
2035;256 221 USD;131 390 USD;;;;;;;;
2036;263 873 USD;133 725 USD;;;;;;;;
2037;271 860 USD;136 637 USD;;;;;;;;
2038;280 579 USD;142 267 USD;;;;;;;;
Átlag;90 649 USD;53 941 USD;52 702 USD;54 399 USD;99 777 USD;43 896 USD;76 047 USD;73 687 USD;72 467 USD;49 992 USD
