Éves GDP növekedés (%)
;Waikiki;USA;Luxemburg;Norvégia;Svájc
1999;0,0%;0,0%;0,0%;0,0%;0,0%
2000;30,3%;5,3%;-4,3%;4,9%;-6,8%
2001;35,7%;2,2%;-0,5%;1,1%;2,0%
2002;26,3%;2,3%;9,4%;11,8%;7,1%
2003;28,2%;3,9%;23,9%;16,4%;16,2%
2004;26,8%;5,7%;16,5%;15,0%;10,8%
2005;25,3%;5,7%;5,8%;16,1%;2,9%
2006;19,9%;5,0%;12,1%;11,0%;4,9%
2007;22,9%;3,8%;18,4%;14,9%;10,1%
2008;20,4%;1,1%;12,0%;14,0%;14,1%
2009;16,7%;-2,8%;-9,1%;-17,6%;-3,5%
2010;17,9%;3,1%;1,3%;9,7%;6,9%
2011;16,4%;2,8%;7,3%;14,8%;18,2%
2012;13,4%;3,4%;-5,4%;0,9%;-5,1%
2013;14,6%;3,1%;6,6%;1,3%;1,7%
2014;11,2%;3,5%;3,1%;-5,7%;1,6%
2015;13,4%;3,1%;-14,7%;-23,4%;-5,5%
2016;8,8%;2,0%;1,4%;-5,3%;-2,0%
2017;9,6%;3,6%;3,1%;7,4%;0,1%
2018;7,1%;4,7%;6,0%;8,7%;3,6%
2019;4,4%;3,7%;-3,5%;-7,7%;-1,3%
2020;-6,4%;-1,3%;3,7%;-10,6%;2,1%
2021;5,0%;10,7%;14,4%;36,2%;8,8%
2022;10,8%;9,2%;-6,5%;16,9%;-0,2%
2023;-2,6%;5,7%;2,6%;-19,2%;7,2%
2024;4,3%;4,3%;-100,0%;-100,0%;-100,0%
2025;0,0%;;;;
2026;1,9%;;;;
2027;3,3%;;;;
2028;2,1%;;;;
2029;3,6%;;;;
2030;1,8%;;;;
2031;3,2%;;;;
2032;2,5%;;;;
2033;1,9%;;;;
2034;3,6%;;;;
2035;3,0%;;;;
2036;3,0%;;;;
2037;3,0%;;;;
2038;3,2%;;;;
Átlag;15,0%;3,6%;4,1%;4,5%;3,8%
